,0
diff_bp_whip_14d,0.029784977
diff_bat_hits_per_game_season,0.028918553
diff_bat_bb_per_game_season,0.028763467
is_day_game,0.027924366
home_bat_sb_per_game_7d,0.027791768
diff_sp_recent_ip_avg,0.027275844
diff_bat_hr_per_game_14d,0.026703145
diff_bat_k_per_game_season,0.026028436
home_sp_recent_ip_avg,0.026020294
home_bat_sb_per_game_30d,0.026001057
home_bp_whip_14d,0.025817925
away_bat_bb_per_game_14d,0.02573385
diff_bat_bb_per_game_7d,0.025619654
away_sp_recent_era,0.025584003
home_bat_hr_per_game_7d,0.025470885
away_bat_runs_per_game_season,0.025374115
diff_bat_k_per_game_30d,0.025222065
away_bp_appearances_7d,0.02519417
elevation_ft,0.025172457
diff_bat_hr_per_game_7d,0.025165925
away_sp_recent_k_per_9,0.024945762
away_bat_hits_per_game_7d,0.024510512
diff_bp_ip_last_3d,0.024403326
home_bat_hr_per_game_14d,0.024386993
away_bat_hr_per_game_14d,0.024144577
away_bat_sb_per_game_14d,0.024144175
home_bat_hr_per_game_30d,0.023965944
home_bat_runs_per_game_season,0.023838758
away_bat_hr_per_game_season,0.023782874
home_sp_season_ip,0.023690687
home_sp_recent_bb_per_9,0.023504766
diff_bat_bb_per_game_14d,0.023423743
home_bat_runs_per_game_30d,0.023379289
away_bat_trend_runs,0.02321911
diff_bat_sb_per_game_30d,0.023161834
diff_bat_runs_per_game_season,0.023132036
diff_bat_trend_runs,0.023035178
away_bat_runs_per_game_14d,0.022429353
diff_bat_hr_per_game_30d,0.021687977
home_bat_hr_per_game_season,0.021646125
